Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
CAPPUCCINI,Francesco,GRO,21,0,4,2,0,0,0,6,0.190,0.286,0.227,0.513,1,0,7,0,0,0,0,0
CARIMA,Emanuele,OLT,11,2,1,0,0,0,1,1,0.091,0.091,0.231,0.322,2,0,5,0,0,2,0,0
CARRERA LOPEZ,Jesus Daniel,MAC,24,3,9,3,0,1,6,15,0.375,0.625,0.444,1.069,2,1,5,0,0,0,2,0
CASADIO,Antonio,GOD,27,7,6,4,0,0,6,10,0.222,0.370,0.333,0.703,4,1,14,0,1,1,3,0
CASADIO,Matteo,GOD,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
CASSINI,Duccio,FIO,17,3,4,2,0,0,1,6,0.235,0.353,0.350,0.703,3,0,8,0,0,2,0,1
CASTILLO ALVAREZ,FELIX ANDRES,TOR,8,0,1,0,0,0,0,1,0.125,0.125,0.125,0.250,0,0,6,0,0,0,0,0
CASTILLO CASTILLO,Jonathan,POV,22,2,7,3,1,0,3,12,0.318,0.545,0.400,0.945,2,1,4,1,0,0,2,2
CATELLANI,Sebastiano,OLT,22,6,4,0,0,0,4,4,0.182,0.182,0.308,0.490,4,0,8,0,0,0,2,0
CECHET,Ivan,RON,7,1,3,0,0,0,1,3,0.429,0.429,0.429,0.858,0,0,0,0,0,0,0,0
CELLI,Federico,RSM,16,3,6,0,1,0,2,8,0.375,0.500,0.500,1.000,4,0,4,0,0,0,2,0
CEPPARI,Leonardo,PAU,8,0,2,1,0,0,1,3,0.250,0.375,0.250,0.625,0,0,1,0,0,0,0,0
CEPPARULO,Nicola,POV,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
CERIALI,Lorenzo Zeo,REG,16,2,4,0,0,0,3,4,0.250,0.250,0.235,0.485,0,0,4,1,1,1,1,0
CERRUTI,Michele,PAU,11,3,2,0,0,0,1,2,0.182,0.182,0.357,0.539,1,2,2,1,0,0,2,0
CHACON DE ANTONIS,Alejandro Gabriel,RIM,29,3,8,3,2,0,7,15,0.276,0.517,0.344,0.861,2,1,7,0,0,0,1,0
CHELLI,Gabriele,BBC,17,0,1,0,0,0,1,1,0.059,0.059,0.059,0.118,0,0,4,0,0,0,0,0
CIALLI,Francesco,FIO,26,6,9,2,0,0,5,11,0.346,0.423,0.370,0.793,1,0,5,0,0,1,0,0
CIFALINÒ,Thomas,RIM,25,1,7,0,0,0,2,7,0.280,0.280,0.321,0.601,2,0,7,0,1,0,1,1
